Marital Status,Course,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Gender,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,isDisplaced,hasSpecialNeeds,tuitionToDate,hasScholarship,isDebtor,AttendanceTime,Nationality
Single,Nursing,Secondary,136.0,Basic,Basic,9,9,119.3,Female,18,0,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Basic Education,Secondary,133.0,Basic,Basic,4,9,130.2,Female,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,True,False,True,False,False,Day,Portuguese
Single,Tourism,Higher,110.0,Secondary,Secondary,4,7,111.8,Female,21,0,0,6,7,6,10.57142857,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Veterinary Nursing,Secondary,149.0,Basic,Basic,5,5,137.1,Female,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Journalism and Communication,Secondary,127.0,Basic,Basic,9,3,120.7,Female,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,True,False,True,False,False,Day,Portuguese
Single,Social Service,Secondary,137.0,Basic,Basic,5,8,137.4,Female,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,135.0,Basic,Secondary,5,4,127.3,Female,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Equinculture,Secondary,137.0,Higher,Basic,3,5,136.3,Female,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Basic Education,Secondary,140.0,Basic,Basic,7,7,124.6,Female,18,0,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,122.0,Secondary,Secondary,9,8,120.3,Female,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate/Enrolled,False,False,True,True,False,Day,Portuguese
Single,Oral Hygiene,Secondary,127.0,Secondary,Basic,4,7,121.8,Female,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,142.0,Basic,Basic,1,1,125.5,Female,18,0,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Advertising and Marketing Management,Secondary,125.0,Secondary,Basic,4,7,114.9,Female,19,0,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Nursing,Secondary,126.0,Basic,Basic,3,7,123.9,Female,19,0,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Social Service,Secondary,151.0,Basic,Basic,9,9,157.0,Female,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Graduate/Enrolled,True,False,True,True,True,Day,Portuguese
Single,Social Service,Secondary,115.0,Basic,Basic,7,8,116.4,Female,21,0,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Veterinary Nursing,Secondary,138.0,Basic,Basic,3,3,131.0,Female,18,0,0,5,9,5,12.66666667,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Management,Secondary,135.0,Basic,Secondary,9,9,122.1,Female,20,0,0,5,6,5,12.0,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,127.0,Higher,Higher,1,10,118.8,Male,19,0,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Agronomy,Higher,150.0,Higher,Higher,4,2,150.0,Male,21,0,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Communication Design,Secondary,125.0,Higher,Higher,125,124,130.0,Male,20,0,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Management,Secondary,143.0,Secondary,Secondary,4,6,138.8,Male,18,0,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Graduate/Enrolled,False,False,False,False,False,Day,Portuguese
Single,Social Service (evening attendance),Secondary,138.0,Basic,Secondary,9,5,134.5,Female,19,0,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate/Enrolled,True,False,True,False,False,Evening,Portuguese
Single,Management (evening attendance),Secondary,130.0,Higher,Basic,3,9,131.4,Male,34,0,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate/Enrolled,False,False,True,False,False,Evening,Portuguese
Single,Biofuel Production Technologies,Secondary,130.0,Basic,Basic,9,6,102.5,Male,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,False,False,False,False,True,Day,Portuguese
Single,Informatics Engineering,Below secondary,133.1,Unknown,Basic,0,0,128.8,Male,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,True,False,True,False,False,Day,Portuguese
Single,Management,Secondary,140.0,Basic,Basic,6,6,122.9,Female,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,False,False,True,False,False,Day,Portuguese
Divorced,Management (evening attendance),Secondary,120.0,Basic,Basic,9,3,113.9,Female,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate/Enrolled,True,False,True,False,False,Evening,Portuguese
Single,Equinculture,Higher,120.0,Higher,Higher,3,6,120.0,Female,20,1,2,6,13,3,11.66666667,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,False,False,False,False,True,Day,Spanish
Single,Journalism and Communication,Secondary,126.0,Higher,Higher,2,2,121.1,Female,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,False,False,True,False,True,Day,Portuguese
Single,Management,Secondary,133.0,Higher,Basic,2,7,120.4,Female,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,103.0,Secondary,Higher,2,2,100.6,Female,22,0,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,2.02,Graduate/Enrolled,True,True,True,False,False,Day,Portuguese
Single,Journalism and Communication,Secondary,120.0,Secondary,Basic,5,5,121.4,Female,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,False,False,False,False,False,Day,Portuguese
Single,Management (evening attendance),Secondary,133.1,Basic,Basic,9,9,109.7,Female,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,False,False,True,False,False,Evening,Portuguese
Single,Management (evening attendance),Secondary,154.0,Basic,Basic,4,5,134.1,Female,24,0,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,2.6,0.32,Graduate/Enrolled,False,False,True,False,False,Evening,Portuguese
Single,Social Service,Secondary,130.0,Basic,Basic,9,9,127.6,Female,18,0,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,132.0,Basic,Basic,7,7,132.4,Female,22,0,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Social Service (evening attendance),Higher,130.0,Secondary,Basic,9,9,133.4,Female,21,0,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate/Enrolled,False,False,True,True,False,Evening,Portuguese
Single,Social Service,Secondary,139.0,Basic,Basic,9,9,126.1,Female,19,0,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate/Enrolled,False,False,True,True,False,Day,Portuguese
Single,Tourism,Secondary,130.0,Basic,Basic,9,7,113.5,Female,24,0,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate/Enrolled,False,False,True,True,False,Day,Portuguese
Single,Nursing,Secondary,139.0,Basic,Basic,6,6,121.3,Female,19,0,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Journalism and Communication,Secondary,127.0,Secondary,Basic,7,7,121.8,Female,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Equinculture,Secondary,167.0,Basic,Basic,90,90,159.3,Female,19,0,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Management (evening attendance),Secondary,130.0,Basic,Basic,9,9,120.0,Female,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,False,False,True,False,False,Evening,Portuguese
Single,Nursing,Secondary,130.0,Secondary,Basic,5,5,129.1,Female,18,0,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Married,Tourism,Higher,130.0,Secondary,Higher,4,3,130.0,Female,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,False,False,True,False,False,Day,Portuguese
Single,Equinculture,Higher,129.0,Higher,Higher,2,2,155.3,Female,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,141.0,Basic,Basic,7,10,139.8,Female,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,125.0,Basic,Basic,4,9,115.2,Female,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,125.0,Basic,Basic,9,9,114.9,Female,18,0,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,16.2,0.3,-0.92,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Social Service,Higher,130.0,Basic,Secondary,9,9,131.9,Female,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate/Enrolled,False,False,True,True,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,133.0,Secondary,Basic,4,7,126.0,Male,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Communication Design,Secondary,127.0,Secondary,Secondary,3,4,130.2,Male,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Communication Design,Secondary,116.0,Secondary,Secondary,3,3,120.9,Male,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Divorced,Nursing,Below secondary,133.1,Secondary,Secondary,5,5,126.0,Male,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,True,False,True,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,139.0,Basic,Basic,5,3,128.2,Male,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Agronomy,Higher,130.0,Basic,Basic,9,9,130.0,Male,23,0,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Management,Secondary,125.0,Secondary,Basic,7,7,120.1,Male,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,False,False,True,False,True,Day,Portuguese
Single,Tourism,Secondary,160.0,Basic,Basic,7,10,100.0,Male,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Management,Secondary,148.0,Basic,Basic,5,5,134.0,Male,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,150.0,Basic,Basic,8,4,130.8,Male,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,141.0,Basic,Basic,5,10,135.8,Male,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,True,False,True,False,False,Day,Portuguese
Single,Tourism,Secondary,118.0,Basic,Basic,5,7,111.7,Male,18,0,0,6,12,3,11.66666667,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,True,False,True,False,False,Day,Portuguese
Single,Journalism and Communication,Secondary,142.0,Basic,Basic,9,9,132.9,Male,18,0,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Management,Secondary,120.0,Basic,Basic,4,7,115.5,Male,18,0,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,10.8,1.4,1.74,Dropout,True,False,True,False,True,Day,Portuguese
Single,Tourism,Secondary,106.0,Basic,Basic,7,7,106.0,Male,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,True,False,True,True,False,Day,Portuguese
Single,Journalism and Communication,Secondary,121.0,Secondary,Basic,9,8,120.3,Male,19,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,True,True,Day,Portuguese
Single,Nursing,Secondary,150.0,Basic,Basic,9,9,130.8,Male,22,0,0,7,7,7,14.84285714,0,0,8,9,8,15.05555556,0,16.2,0.3,-0.92,Graduate/Enrolled,False,False,True,True,False,Day,Portuguese
Married,Social Service (evening attendance),Secondary,120.0,Basic,Basic,9,6,117.0,Male,33,0,0,6,8,6,12.0,0,0,6,6,6,11.66666667,0,10.8,1.4,1.74,Graduate/Enrolled,False,False,True,False,False,Evening,Portuguese
Single,Basic Education,Secondary,114.0,Basic,Basic,9,9,110.2,Male,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,True,False,True,False,False,Day,Portuguese
Single,Management (evening attendance),Higher,140.0,Higher,Higher,2,2,155.7,Male,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,True,False,True,False,False,Evening,Portuguese
Single,Agronomy,Higher,160.0,Higher,Higher,4,2,180.4,Male,24,0,6,12,17,6,12.16666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout,False,False,True,False,True,Day,Portuguese
Single,Tourism,Secondary,120.0,Basic,Basic,4,4,125.5,Male,18,0,0,5,6,5,12.0,0,0,5,8,3,11.33333333,0,12.7,3.7,-1.7,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Married,Social Service (evening attendance),Secondary,130.0,Basic,Basic,9,6,110.0,Female,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate/Enrolled,True,False,True,False,False,Evening,Portuguese
Single,Nursing,Secondary,160.0,Basic,Basic,9,7,161.0,Female,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Advertising and Marketing Management,Secondary,120.0,Secondary,Basic,4,5,100.0,Female,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate/Enrolled,False,False,True,True,False,Day,Portuguese
Single,Communication Design,Secondary,124.0,Basic,Basic,4,0,117.6,Male,20,0,0,6,9,6,10.66666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Management,Secondary,143.0,Basic,Basic,9,9,128.7,Male,23,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Informatics Engineering,Secondary,115.0,Basic,Basic,9,6,112.2,Male,18,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Graduate/Enrolled,True,False,True,False,True,Day,Portuguese
Single,Nursing,Secondary,133.1,Secondary,Secondary,4,10,100.8,Male,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,False,False,True,False,False,Day,Portuguese
Single,Journalism and Communication,Secondary,133.1,Basic,Secondary,9,9,105.0,Female,21,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,False,False,False,Day,Brazilian
Single,Equinculture,Secondary,133.1,Secondary,Secondary,4,4,100.0,Female,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout,False,False,True,False,False,Day,Brazilian
Married,Basic Education,Below secondary,133.1,Basic,Unknown,0,0,115.5,Female,39,0,0,6,12,3,12.66666667,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout,False,False,True,False,False,Day,Portuguese
Married,Social Service (evening attendance),Secondary,133.1,Basic,Basic,9,9,114.0,Female,44,0,2,8,11,8,11.875,0,0,6,7,6,12.33333333,0,12.7,3.7,-1.7,Graduate/Enrolled,False,False,True,False,False,Evening,Portuguese
Single,Informatics Engineering,Secondary,130.0,Basic,Higher,9,2,137.0,Male,19,1,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Graduate/Enrolled,True,False,True,False,False,Day,Santomean
Single,Journalism and Communication,Secondary,135.0,Basic,Secondary,5,5,124.9,Female,18,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,132.0,Basic,Basic,7,7,120.3,Female,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777778,0,12.4,0.5,1.79,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Veterinary Nursing,Secondary,135.0,Secondary,Higher,9,1,134.3,Female,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,115.0,Higher,Higher,2,2,111.5,Female,19,0,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,True,False,False,False,True,Day,Portuguese
Single,Veterinary Nursing,Higher,130.0,Basic,Basic,9,9,128.8,Female,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout,False,False,True,False,False,Day,Portuguese
Single,Animation and Multimedia Design,Secondary,133.1,Secondary,Secondary,9,10,110.0,Female,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Married,Social Service (evening attendance),Secondary,130.0,Basic,Basic,6,5,113.5,Female,36,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,True,False,True,False,False,Evening,Portuguese
Divorced,Agronomy,Below secondary,133.1,Basic,Basic,9,6,160.0,Female,43,0,13,18,19,18,14.63157895,0,10,13,14,13,14.23076923,1,15.5,2.8,-4.06,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Basic Education,Secondary,123.0,Basic,Basic,9,7,117.4,Female,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout,True,False,True,False,False,Day,Portuguese
Single,Communication Design,Secondary,130.0,Higher,Secondary,2,8,122.2,Female,20,0,4,10,12,10,13.0,0,5,11,11,11,12.27272727,0,11.1,0.6,2.02,Graduate/Enrolled,False,False,True,False,True,Day,Portuguese
Single,Social Service,Secondary,122.0,Basic,Basic,4,7,118.2,Female,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Dropout,True,False,True,False,False,Day,Portuguese
Single,Veterinary Nursing,Secondary,113.0,Secondary,Secondary,4,4,106.7,Female,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,Dropout,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,111.0,Higher,Higher,4,3,108.2,Female,20,0,2,7,9,6,13.26666667,0,0,7,10,5,12.3,0,12.4,0.5,1.79,Dropout,True,False,True,False,False,Day,Portuguese
Single,Basic Education,Secondary,133.1,Basic,Secondary,9,3,107.0,Female,20,0,0,7,12,6,11.66666667,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Social Service,Secondary,142.0,Basic,Basic,6,7,136.1,Female,18,0,0,6,8,6,13.85714286,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Management,Secondary,123.0,Secondary,Basic,4,7,115.3,Female,18,0,0,5,9,3,13.0,0,0,5,11,3,11.0,0,8.9,1.4,3.51,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Veterinary Nursing,Secondary,131.0,Basic,Basic,9,9,139.8,Female,19,0,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Journalism and Communication,Secondary,158.0,Secondary,Basic,4,7,157.0,Female,18,0,0,6,6,6,12.66666667,0,0,6,7,6,12.57142857,0,10.8,1.4,1.74,Graduate/Enrolled,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,122.0,Basic,Basic,9,9,131.0,Female,18,0,0,7,7,6,12.51666667,1,0,7,7,6,12.51666667,1,7.6,2.6,0.32,Dropout,True,False,True,False,False,Day,Portuguese
Single,Nursing,Secondary,130.0,Basic,Basic,9,5,100.0,Female,20,0,0,7,11,6,11.61666667,0,0,7,7,7,13.0,0,13.9,-0.3,0.79,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
Single,Social Service,Secondary,154.0,Basic,Basic,9,7,140.4,Female,20,0,0,6,13,2,10.0,0,0,6,12,4,10.75,0,7.6,2.6,0.32,Graduate/Enrolled,True,False,True,True,False,Day,Portuguese
Single,Management,Secondary,120.0,Basic,Basic,3,3,113.4,Female,20,0,0,5,11,3,10.33333333,0,0,5,10,3,10.66666667,0,12.4,0.5,1.79,Graduate/Enrolled,False,False,True,False,False,Day,Portuguese
